item_id,condition,true_phrase,false_phrase,audio_true,audio_false
stim6,presupposed,C'est en recevant une pomme sur la tête que la gravité a été découverte par Newton. ,C'est en recevant une pomme sur la tête que la gravité a été découverte par Galilée. ,audio/Presupposed_Condition/PCondition_Stim6_Gravite_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim6_Gravite_Distorted.wav
stim6,focalized,C'est Newton qui a découvert la gravité en recevant une pomme sur la tête. ,C'est Galilée qui a découvert la gravité en recevant une pomme sur la tête. ,audio/Focalized_Condition/FCondition_Stim6_Gravite_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim6_Gravite_Distorted.wav
stim7,presupposed,"C'est ""Être ou ne pas être, telle est la question"" que l'on trouve dans la pièce de Shakespeare. ","C'est ""Être ou ne pas être, telle est la question"" que l'on trouve dans la pièce de Molière. ",audio/Presupposed_Condition/PCondition_Stim7_Theatre_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim7_Theatre_Distorted.wav
stim7,focalized ,"C'est dans la pièce de Shakespeare que l'on trouve la phrase ""Être ou ne pas être, telle est la question"". ","C'est dans la pièce de Molière que l'on trouve la phrase ""Être ou ne pas être, telle est la question"". ",audio/Focalized_Condition/FCondition_Stim7_Theatre_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim7_Theatre_Distorted.wav
stim8,presupposed,C'est Neil Armstrong qui a été le premier homme à marcher sur la Lune.,C'est Neil Armstrong qui a été le premier homme à marcher sur Mars. ,audio/Presupposed_Condition/PCondition_Stim8_NeilArmstrong_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim8_NeilArmstrong_Distorted.wav
stim8,focalized,C'est sur la Lune que Neil Armstrong a été le premier homme à marcher. ,C'est sur Mars que Neil Armstrong a été le premier homme à marcher. ,audio/Focalized_Condition/FCondition_Stim8_NeilArmstrong_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim8_NeilArmstrong_Distorted.wav
stim9,presupposed,C'est l'eau qui contient un atome d'oxigène et un d'hydrogène. ,C'est l'eau qui contient un atome d'oxygène et un d'hélium.,audio/Presupposed_Condition/PCondition_Stim9_Eau_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim9_Eau_Distorted.wav
stim9,focalized,C'est un atome d'hydrogène et un d'oxygène qui composent l'eau.,C'est un atome d'hélium et un d'oxygène qui compose l'eau. ,audio/Focalized_Condition/FCondition_Stim9_Eau_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim9_Eau_Distorted.wav
stim10,presupposed,C'est la Sicile qui se trouve près du bout de la botte au sud de l'Italie. ,C'est la Sicile qui se trouve près du bout de la botte au nord de l'Italie. ,audio/Presupposed_Condition/PCondition_Stim10_Italie_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim10_Italie_Distorted.wav
stim10,focalized ,C'est près du bout de la botte au sud de l'Italie que se trouve la Sicile. ,C'est près du bout de la botte au nord de l'Italie que se trouve la Sicile. ,audio/Focalized_Condition/FCondition_Stim10_Italie_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim10_Italie_Distorted.wav
stim11,presupposed,C'est pour faire tomber des quilles que l'on utilise une boule de bowling à trois trous. ,C'est pour faire tomber des quilles que l'on utilise une boule de bowling à cinq trous. ,audio/Presupposed_Condition/PCondition_Stim11_Bowling_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim11_Bowling_Distorted.wav
stim11,focalized,C'est une boule de bowling à trois trous qui est utilisée pour faire tomber des quilles. ,C'est une boule de bowling à cinq trous qui est utilisée pour faire tomber des quilles. ,audio/Focalized_Condition/FCondition_Stim11_Bowling_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim11_Bowling_Distorted.wav
stim12,presupposed,"C'est le panda, un animal en voie d'extinction, qui mange des pousses de bambou. ","C'est le panda, un animal en voie d'extinction, qui mange des pousses de palmier. ",audio/Presupposed_Condition/PCondition_Stim12_Panda_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim12_Panda_Distorted.wav
stim12,focalized,"Ce sont des pousses de bambou que mange le panda, un animal en voie d'extinction. ","Ce sont des pousses de palmier que mange le panda, un animal en voie d'extinction. ",audio/Focalized_Condition/FCondition_Stim12_Panda_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim12_Panda_Distorted.wav
stim13,presupposed,"C'est en Égypte que l'on trouve les pyramides, les momies, les pharaons, et le fleuve du Nil.","C'est en Égypte que l'on trouve les pyramides, les momies, les pharaons, et le fleuve du Congo. ",audio/Presupposed_Condition/PCondition_Stim13_Egypte_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim13_Egypte_Distorted.wav
stim13,focalized ,"Ce sont le fleuve du Nil, les pyramides, les momies, et les pharaons que l'on trouve en Égypte. ","Ce sont le fleuve de Congo, les pyramides, les momies, et les pharaons que l'on trouve en Égypte. ",audio/Focalized_Condition/FCondition_Stim13_Egypte_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim13_Egypte_Distorted.wav
stim14,presupposed,C'est l'eau qui gèle à 0°C sur le thermomètre. ,C'est l'eau qui gèle à 0°C sur le thermostat. ,audio/Presupposed_Condition/PCondition_Stim14_EauGelee_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim14_EauGelee_Distorted.wav
stim14,focalized,C'est sur le thermomètre que l'eau gèle à 0°C.,C'est sur le thermostat que l'eau gèle à 0°C. ,audio/Focalized_Condition/FCondition_Stim14_EauGelee_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim14_EauGelee_Distorted.wav
stim15,presupposed,C'est le Titanic qui a coulé à cause d'un iceberg dans l'Océan Atlantique. ,C'est le Titanic qui a coulé à cause d'un iceberg dans l'Océan Pacifique. ,audio/Presupposed_Condition/PCondition_Stim15_Titanic_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim15_Titanic_Distorted.wav
stim15,focalized,C'est dans l'Océan Atlantique que le Titanic a coulé à cause d'un iceberg. ,C'est dans l'Océan Pacifique que le Titanic a coulé à cause d'un iceberg. ,audio/Focalized_Condition/FCondition_Stim15_Titanic_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim15_Titanic_Distorted.wav
stim16,presupposed,C'est le tigre rayé que l'on trouve en Inde. ,C'est le tigre rayé que l'on trouve en Afrique. ,audio/Presupposed_Condition/PCondition_Stim16_Tigre_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim16_Tigre_Distorted.wav
stim16,focalized ,C'est en Inde que l'on trouve le tigre rayé. ,C'est en Afrique que l'on trouve le tigre rayé. ,audio/Focalized_Condition/FCondition_Stim16_Tigre_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim16_Tigre_Distorted.wav
stim17,presupposed,C'est Vénus qui est connue comme la Déesse de l'Amour.,C'est Vénus qui est connue comme la Déesse de la Guerre.,audio/Presupposed_Condition/PCondition_Stim17_Venus_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim17_Venus_Distorted.wav
stim17,focalized,C'est comme étant la Déesse de l'Amour que Vénus est connue. ,C'est comme étant la Déesse de la Guerre que Vénus est connue. ,audio/Focalized_Condition/FCondition_Stim17_Venus_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim17_Venus_Distorted.wav
stim18,presupposed,C'est l'écureuil qui cache dans ses joues des glands tombés des chênes. ,C'est l'écureuil qui cache dans ses joues des glands tombés des bouleaux. ,audio/Presupposed_Condition/PCondition_Stim18_Ecureuil_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim18_Ecureuil_Distorted.wav
stim18,focalized,Ce sont des glands tombés des chênes que l'écureuil cache dans ses joues. ,Ce sont des glands tombés des bouleaux que l'écureuil cache dans ses joues. ,audio/Focalized_Condition/FCondition_Stim18_Ecureuil_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim18_Ecureuil_Distorted.wav
stim19,presupposed,C'est la Statue de la Liberté que la France a donné à New York.,C'est la Statue de la Liberté que l'Angeterre a donné à New York.,audio/Presupposed_Condition/PCondition_Stim19_NewYork_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim19_NewYork_Distorted.wav
stim19,focalized ,C'est la France qui a donné la Statue de la Liberté à New York. ,C'est l'Angleterre qui a donné la Statue de la Liberté à New York. ,audio/Focalized_Condition/FCondition_Stim19_NewYork_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim19_NewYork_Distorted.wav
stim20,presupposed,Ce sont des feuilles d'eucalyptus qui sont mangées par des koalas en Australie. ,Ce sont des feuilles d'eucalyptus qui sont mangées par des koalas en Asie. ,audio/Presupposed_Condition/PCondition_Stim20_Koala_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim20_Koala_Distorted.wav
stim20,focalized,C'est en Australie que les koalas mangent des feuilles d'eucalyptus. ,C'est en Asie que les koalas mangent des feuilles d'eucalyptus. ,audio/Focalized_Condition/FCondition_Stim20_Koala_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim20_Koala_Distorted.wav
